DataOperacao,PredicaoIA,Candle,Close,Open,High,Low,CandleCorpoPct,CandlePavioSuperiorPct,CandlePavioInferiorPct,Profit,ProfitPct,ProfitAcumulado,ProfitJurosComposto
02/10/2018 00:00,Long,DOWN,225.69,231.62,232.51,223.37,3,0.38,1.03,Loss,3,-3,970
03/10/2018 00:00,Long,DOWN,220.77,225.7,226.43,216.51,3,0.32,1.93,Loss,3,-6,940
04/10/2018 00:00,Long,UP,222.66,220.67,227.16,219.49,0.89,2.02,0.53,Gain,0.89,-5.11,948.9
05/10/2018 00:00,Long,UP,228.37,222.66,231.75,219.35,2.5,1.48,1.49,Gain,2.5,-2.61,973.9
06/10/2018 00:00,Short,DOWN,225.4,228.36,228.86,223.15,1.3,0.22,1,Gain,1.3,-1.31,986.9
07/10/2018 00:00,Long,UP,226.14,225.39,227.75,221.48,0.33,0.71,1.73,Gain,0.33,-0.98,990.2
08/10/2018 00:00,Long,UP,230.01,226.26,232.7,224.21,1.63,1.17,0.91,Gain,1.63,0.65,1006.5
09/10/2018 00:00,Short,DOWN,228.4,230.01,231.02,226.56,0.7,0.44,0.81,Gain,0.7,1.35,1013.5
10/10/2018 00:00,Long,DOWN,226.74,228.4,228.78,224.05,0.73,0.17,1.19,Loss,0.73,0.62,1006.2
11/10/2018 00:00,Long,DOWN,191.58,226.7,226.91,189.01,3,0.09,1.34,Loss,3,-2.38,976.2
12/10/2018 00:00,Long,UP,196.96,191.55,201.87,190.04,2.75,2.49,0.79,Gain,2.75,0.37,1003.7
13/10/2018 00:00,Short,UP,201.3,196.96,202.78,196.27,2.16,0.74,0.35,Loss,2.16,-1.79,982.1
14/10/2018 00:00,Long,DOWN,197.01,201.39,203.56,194.33,3,1.08,1.36,Loss,3,-4.79,952.1
15/10/2018 00:00,Long,UP,214.39,196.84,239,194.6,8.19,11.48,1.14,Gain,8.19,3.4,1034
16/10/2018 00:00,Short,UP,215.09,214.39,219.95,211.55,0.33,2.26,1.32,Loss,0.33,3.07,1030.7
17/10/2018 00:00,Long,DOWN,212.85,215.2,216.99,210,1.09,0.83,1.34,Loss,1.09,1.98,1019.8
18/10/2018 00:00,Long,DOWN,206.24,212.9,215.3,203.53,3,1.13,1.31,Loss,3,-1.02,989.8
19/10/2018 00:00,Long,DOWN,205,206.25,208,204.21,0.61,0.85,0.39,Loss,0.61,-1.63,983.7
20/10/2018 00:00,Long,UP,207.91,205.1,209.69,203.57,1.35,0.86,0.75,Gain,1.35,-0.28,997.2
21/10/2018 00:00,Long,DOWN,207.49,207.91,211.99,206.74,0.2,1.96,0.36,Loss,0.2,-0.48,995.2
22/10/2018 00:00,Long,DOWN,206.67,207.46,209.3,205,0.38,0.89,0.81,Loss,0.38,-0.86,991.4
23/10/2018 00:00,Long,DOWN,205.85,206.67,207.8,202.14,0.4,0.55,1.8,Loss,0.4,-1.26,987.4
24/10/2018 00:00,Long,DOWN,205.35,205.85,207.95,204.73,0.24,1.02,0.3,Loss,0.24,-1.5,985
25/10/2018 00:00,Long,DOWN,203.93,205.35,205.94,202.88,0.69,0.29,0.51,Loss,0.69,-2.19,978.1
26/10/2018 00:00,Long,UP,204.92,203.84,209,203,0.53,1.99,0.41,Gain,0.53,-1.66,983.4
27/10/2018 00:00,Long,DOWN,204.45,204.92,206.15,203.09,0.23,0.6,0.67,Loss,0.23,-1.89,981.1
28/10/2018 00:00,Long,UP,204.99,204.45,205.94,203.62,0.26,0.46,0.41,Gain,0.26,-1.63,983.7
29/10/2018 00:00,Long,DOWN,196.96,204.99,205.49,195.28,3,0.24,0.85,Loss,3,-4.63,953.7
30/10/2018 00:00,Long,UP,197.27,196.95,198.6,195.91,0.16,0.67,0.53,Gain,0.16,-4.47,955.3
31/10/2018 00:00,Long,UP,198.73,197.24,201.45,193.01,0.75,1.37,2.14,Gain,0.75,-3.72,962.8
01/11/2018 00:00,Short,UP,199.96,198.7,200.95,197.88,0.63,0.5,0.41,Loss,0.63,-4.35,956.5
02/11/2018 00:00,Long,UP,202.35,199.93,203.74,199.34,1.2,0.69,0.3,Gain,1.2,-3.15,968.5
03/11/2018 00:00,Short,DOWN,200.31,202.31,202.69,198.59,0.99,0.19,0.86,Gain,0.99,-2.16,978.4
04/11/2018 00:00,Long,UP,212.11,200.27,218.76,199,5.58,3.14,0.63,Gain,5.58,3.42,1034.2
05/11/2018 00:00,Short,DOWN,210.66,212.13,213.39,207.62,0.69,0.59,1.44,Gain,0.69,4.11,1041.1
06/11/2018 00:00,Long,UP,220.74,210.64,221.25,209.11,4.58,0.23,0.73,Gain,4.58,8.69,1086.9
07/11/2018 00:00,Short,DOWN,219.07,220.77,224.8,217.01,0.77,1.83,0.94,Gain,0.77,9.46,1094.6
08/11/2018 00:00,Long,DOWN,212.79,219.06,220.78,212.49,3,0.79,0.14,Loss,3,6.46,1064.6
09/11/2018 00:00,Long,DOWN,210.77,212.79,215.51,209.1,0.95,1.28,0.79,Loss,0.95,5.51,1055.1
10/11/2018 00:00,Long,UP,213.25,210.78,215.55,209.02,1.16,1.08,0.83,Gain,1.16,6.67,1066.7
11/11/2018 00:00,Long,DOWN,212.54,213.27,213.99,209,0.34,0.34,1.67,Loss,0.34,6.33,1063.3
12/11/2018 00:00,Long,UP,212.89,212.6,214.22,210.9,0.14,0.62,0.8,Gain,0.14,6.47,1064.7
13/11/2018 00:00,Long,DOWN,209.84,212.91,213.8,209.2,1.44,0.42,0.3,Loss,1.44,5.03,1050.3
14/11/2018 00:00,Long,DOWN,187.43,209.84,210.3,176.16,3,0.22,6.01,Loss,3,2.03,1020.3
15/11/2018 00:00,Long,DOWN,184.35,187.43,190,170.99,3,1.37,7.25,Loss,3,-0.97,990.3
16/11/2018 00:00,Short,DOWN,176.89,184.35,185,173,4.05,0.35,2.2,Gain,4.05,3.08,1030.8
17/11/2018 00:00,Long,DOWN,176.2,176.93,177.91,173.94,0.41,0.55,1.28,Loss,0.41,2.67,1026.7
18/11/2018 00:00,Long,UP,178.97,176.2,182.94,176.1,1.55,2.22,0.06,Gain,1.55,4.22,1042.2
19/11/2018 00:00,Long,DOWN,150.81,179.04,179.33,146.47,3,0.16,2.88,Loss,3,1.22,1012.2
20/11/2018 00:00,Long,DOWN,133.82,150.76,154.7,126.95,3,2.61,5.13,Loss,3,-1.78,982.2
21/11/2018 00:00,Short,UP,138.23,133.68,142.01,127.15,3,2.73,4.88,Loss,3,-4.78,952.2
22/11/2018 00:00,Short,DOWN,126.63,138.36,140.4,125.64,8.48,1.47,0.78,Gain,8.48,3.7,1037
23/11/2018 00:00,Long,DOWN,125.02,126.58,128.9,118.56,3,1.83,5.17,Loss,3,0.7,1007
24/11/2018 00:00,Short,DOWN,114.89,125,130.81,112.32,3,4.65,2.24,Loss,3,-2.3,977
25/11/2018 00:00,Long,UP,118.67,114.83,122.35,102.95,3,3.1,10.35,Loss,3,-5.3,947
